index,video_id,label_from_thumbnail_or_title,url,thumb_file
60,y_xGQNJT-NQ,"""길어봐야 2년"" (앤트로픽)",https://www.youtube.com/watch?v=y_xGQNJT-NQ,artifacts/bzcf_thumbnails/thumbs/060_길어봐야 2년 (앤트로픽).jpg
61,bTQM3oEW0gk,가슴이 웅장해지는 (딥마인드 - 앤트로픽),https://www.youtube.com/watch?v=bTQM3oEW0gk,artifacts/bzcf_thumbnails/thumbs/061_가슴이 웅장해지는 (딥마인드 - 앤트로픽).jpg
62,VgSWTMmCnHg,China's ridiculous development plan,https://www.youtube.com/watch?v=VgSWTMmCnHg,artifacts/bzcf_thumbnails/thumbs/062_China's ridiculous development plan.jpg
63,mGdYR0bQ5wc,나는 미래를 만드는 중 (일론 머스크),https://www.youtube.com/watch?v=mGdYR0bQ5wc,artifacts/bzcf_thumbnails/thumbs/063_나는 미래를 만드는 중 (일론 머스크).jpg
64,RfRkHHT-Zq0,정말요 (구글 딥마인드),https://www.youtube.com/watch?v=RfRkHHT-Zq0,artifacts/bzcf_thumbnails/thumbs/064_정말요 (구글 딥마인드).jpg
65,AdY5ZFN3ceM,현대는 로봇회사다,https://www.youtube.com/watch?v=AdY5ZFN3ceM,artifacts/bzcf_thumbnails/thumbs/065_현대는 로봇회사다.jpg
66,Kip-dvYIRrE,이스라엘이 개강한 이유,https://www.youtube.com/watch?v=Kip-dvYIRrE,artifacts/bzcf_thumbnails/thumbs/066_이스라엘이 개강한 이유.jpg
67,GBNBN4K-Osc,"""돈이 전부가 아니야"" (마이클 블룸버그)",https://www.youtube.com/watch?v=GBNBN4K-Osc,artifacts/bzcf_thumbnails/thumbs/067_돈이 전부가 아니야 (마이클 블룸버그).jpg
68,L2qDH6ovGo0,Virality is not the essence (Mr. Beast),https://www.youtube.com/watch?v=L2qDH6ovGo0,artifacts/bzcf_thumbnails/thumbs/068_Virality is not the essence (Mr. Beast).jpg
69,PLe30uUu6qs,민주주의는 망했다 (커티스 야빈),https://www.youtube.com/watch?v=PLe30uUu6qs,artifacts/bzcf_thumbnails/thumbs/069_민주주의는 망했다 (커티스 야빈).jpg
70,CxtehreILw0,Lee Kuan Yew's Thoughts,https://www.youtube.com/watch?v=CxtehreILw0,artifacts/bzcf_thumbnails/thumbs/070_Lee Kuan Yew's Thoughts.jpg
71,2z9JsnMDWHE,인공지능 시작도 안함 (구글 창업자),https://www.youtube.com/watch?v=2z9JsnMDWHE,artifacts/bzcf_thumbnails/thumbs/071_인공지능 시작도 안함 (구글 창업자).jpg
72,c_kFpt6bNZc,"Vice President Meta (Alexander Wang), born in 1997",https://www.youtube.com/watch?v=c_kFpt6bNZc,"artifacts/bzcf_thumbnails/thumbs/072_Vice President Meta (Alexander Wang), born in 1997.jpg"
73,iTypFtxogNQ,I Want to Run a Business Like an Artist (Interview with Notion's Founder),https://www.youtube.com/watch?v=iTypFtxogNQ,artifacts/bzcf_thumbnails/thumbs/073_I Want to Run a Business Like an Artist (Interview with Notion's Founder).jpg
74,NYgq7_FUJic,일론 머스크 최신대화 전체번역,https://www.youtube.com/watch?v=NYgq7_FUJic,artifacts/bzcf_thumbnails/thumbs/074_일론 머스크 최신대화 전체번역.jpg
75,Nr4wrWuxs9w,비트코인 입장 바꿨다 (블랙락),https://www.youtube.com/watch?v=Nr4wrWuxs9w,artifacts/bzcf_thumbnails/thumbs/075_비트코인 입장 바꿨다 (블랙락).jpg
76,aOc4i15yFxo,Korean Translation | Interview with Antropic CEO,https://www.youtube.com/watch?v=aOc4i15yFxo,artifacts/bzcf_thumbnails/thumbs/076_Korean Translation Interview with Antropic CEO.jpg
77,wacPYKwOCRc,급진적 풍요의 시대 (데미스 하사비스),https://www.youtube.com/watch?v=wacPYKwOCRc,artifacts/bzcf_thumbnails/thumbs/077_급진적 풍요의 시대 (데미스 하사비스).jpg
78,_3PagsvnMLA,97년생 미국 수퍼엘리트 (데카곤),https://www.youtube.com/watch?v=_3PagsvnMLA,artifacts/bzcf_thumbnails/thumbs/078_97년생 미국 수퍼엘리트 (데카곤).jpg
79,7WMuH8BmtvY,띵킹게임 (데미스 하사비스),https://www.youtube.com/watch?v=7WMuH8BmtvY,artifacts/bzcf_thumbnails/thumbs/079_띵킹게임 (데미스 하사비스).jpg
80,ifQqNMoEBqM,워렌버핏이 근본인 이유,https://www.youtube.com/watch?v=ifQqNMoEBqM,artifacts/bzcf_thumbnails/thumbs/080_워렌버핏이 근본인 이유.jpg
81,aAJ5ulsiWZo,이 영상 하나만 보세요 (젠슨 황),https://www.youtube.com/watch?v=aAJ5ulsiWZo,artifacts/bzcf_thumbnails/thumbs/081_이 영상 하나만 보세요 (젠슨 황).jpg
82,75XQmol2ksI,Humans will soon become gods (Neuralink),https://www.youtube.com/watch?v=75XQmol2ksI,artifacts/bzcf_thumbnails/thumbs/082_Humans will soon become gods (Neuralink).jpg
