index,video_id,label,new_path,url
68,L2qDH6ovGo0,Virality is not the essence (Mr. Beast),artifacts/bzcf_thumbnails/thumbs/068_Virality is not the essence (Mr. Beast).jpg,https://www.youtube.com/watch?v=L2qDH6ovGo0
69,PLe30uUu6qs,민주주의는 망했다 (커티스 야빈),artifacts/bzcf_thumbnails/thumbs/069_민주주의는 망했다 (커티스 야빈).jpg,https://www.youtube.com/watch?v=PLe30uUu6qs
70,CxtehreILw0,Lee Kuan Yew's Thoughts,artifacts/bzcf_thumbnails/thumbs/070_Lee Kuan Yew's Thoughts.jpg,https://www.youtube.com/watch?v=CxtehreILw0
71,2z9JsnMDWHE,인공지능 시작도 안함 (구글 창업자),artifacts/bzcf_thumbnails/thumbs/071_인공지능 시작도 안함 (구글 창업자).jpg,https://www.youtube.com/watch?v=2z9JsnMDWHE
72,c_kFpt6bNZc,"Vice President Meta (Alexander Wang), born in 1997","artifacts/bzcf_thumbnails/thumbs/072_Vice President Meta (Alexander Wang), born in 1997.jpg",https://www.youtube.com/watch?v=c_kFpt6bNZc
73,iTypFtxogNQ,I Want to Run a Business Like an Artist (Interview with Notion's Founder),artifacts/bzcf_thumbnails/thumbs/073_I Want to Run a Business Like an Artist (Interview with Notion's Founder).jpg,https://www.youtube.com/watch?v=iTypFtxogNQ
74,NYgq7_FUJic,일론 머스크 최신대화 전체번역,artifacts/bzcf_thumbnails/thumbs/074_일론 머스크 최신대화 전체번역.jpg,https://www.youtube.com/watch?v=NYgq7_FUJic
75,Nr4wrWuxs9w,비트코인 입장 바꿨다 (블랙락),artifacts/bzcf_thumbnails/thumbs/075_비트코인 입장 바꿨다 (블랙락).jpg,https://www.youtube.com/watch?v=Nr4wrWuxs9w
76,aOc4i15yFxo,Korean Translation | Interview with Antropic CEO,artifacts/bzcf_thumbnails/thumbs/076_Korean Translation Interview with Antropic CEO.jpg,https://www.youtube.com/watch?v=aOc4i15yFxo
77,wacPYKwOCRc,급진적 풍요의 시대 (데미스 하사비스),artifacts/bzcf_thumbnails/thumbs/077_급진적 풍요의 시대 (데미스 하사비스).jpg,https://www.youtube.com/watch?v=wacPYKwOCRc
78,_3PagsvnMLA,97년생 미국 수퍼엘리트 (데카곤),artifacts/bzcf_thumbnails/thumbs/078_97년생 미국 수퍼엘리트 (데카곤).jpg,https://www.youtube.com/watch?v=_3PagsvnMLA
79,7WMuH8BmtvY,띵킹게임 (데미스 하사비스),artifacts/bzcf_thumbnails/thumbs/079_띵킹게임 (데미스 하사비스).jpg,https://www.youtube.com/watch?v=7WMuH8BmtvY
80,ifQqNMoEBqM,워렌버핏이 근본인 이유,artifacts/bzcf_thumbnails/thumbs/080_워렌버핏이 근본인 이유.jpg,https://www.youtube.com/watch?v=ifQqNMoEBqM
81,aAJ5ulsiWZo,이 영상 하나만 보세요 (젠슨 황),artifacts/bzcf_thumbnails/thumbs/081_이 영상 하나만 보세요 (젠슨 황).jpg,https://www.youtube.com/watch?v=aAJ5ulsiWZo
82,75XQmol2ksI,Humans will soon become gods (Neuralink),artifacts/bzcf_thumbnails/thumbs/082_Humans will soon become gods (Neuralink).jpg,https://www.youtube.com/watch?v=75XQmol2ksI
83,BdqenHB1fdw,비트코인 예측한 피터틸 (1999년),artifacts/bzcf_thumbnails/thumbs/083_비트코인 예측한 피터틸 (1999년).jpg,https://www.youtube.com/watch?v=BdqenHB1fdw
84,pbM0hIll9Gk,'진짜'들은 제미나이 쓴다. (구글),artifacts/bzcf_thumbnails/thumbs/084_'진짜'들은 제미나이 쓴다. (구글).jpg,https://www.youtube.com/watch?v=pbM0hIll9Gk
85,011Xq8qEwOs,실패를 통과하는 일 (박소령 퍼블리 창업자),artifacts/bzcf_thumbnails/thumbs/085_실패를 통과하는 일 (박소령 퍼블리 창업자).jpg,https://www.youtube.com/watch?v=011Xq8qEwOs
86,9KVxx7CLBxA,60억 투자받은 96년생 | 바카티오 지현준 대표,artifacts/bzcf_thumbnails/thumbs/086_60억 투자받은 96년생 바카티오 지현준 대표.jpg,https://www.youtube.com/watch?v=9KVxx7CLBxA
87,HjtKS6ISiTI,떡잎부터 달랐던 샘알트먼,artifacts/bzcf_thumbnails/thumbs/087_떡잎부터 달랐던 샘알트먼.jpg,https://www.youtube.com/watch?v=HjtKS6ISiTI
88,QvtOB8CLomc,'변하지 않는 것' (제프 베조스),artifacts/bzcf_thumbnails/thumbs/088_'변하지 않는 것' (제프 베조스).jpg,https://www.youtube.com/watch?v=QvtOB8CLomc
89,3fk5S_uzI7Y,엔비디아 창업 썰푼다 (젠슨황),artifacts/bzcf_thumbnails/thumbs/089_엔비디아 창업 썰푼다 (젠슨황).jpg,https://www.youtube.com/watch?v=3fk5S_uzI7Y
90,NfFFm49420Y,팔란티어 알렉스카프 1:1 인터뷰,artifacts/bzcf_thumbnails/thumbs/090_팔란티어 알렉스카프 1 1 인터뷰.jpg,https://www.youtube.com/watch?v=NfFFm49420Y
91,8N3MhUMDdI4,"""인간 모두가 패배자"" (제프리 힌튼)",artifacts/bzcf_thumbnails/thumbs/091_인간 모두가 패배자 (제프리 힌튼).jpg,https://www.youtube.com/watch?v=8N3MhUMDdI4
92,K6lrW4N93Pk,미국 다음 시대 .. (싱가포르 총리 로렌스 웡),artifacts/bzcf_thumbnails/thumbs/092_미국 다음 시대 .. (싱가포르 총리 로렌스 웡).jpg,https://www.youtube.com/watch?v=K6lrW4N93Pk
93,5uDhmuwlHoU,죽지 마세요 (브라이언 존슨),artifacts/bzcf_thumbnails/thumbs/093_죽지 마세요 (브라이언 존슨).jpg,https://www.youtube.com/watch?v=5uDhmuwlHoU
94,X7DhAAgsUHE,핸드폰 안합니다 (텔레그램 창업자),artifacts/bzcf_thumbnails/thumbs/094_핸드폰 안합니다 (텔레그램 창업자).jpg,https://www.youtube.com/watch?v=X7DhAAgsUHE
95,-tzXFnX92z8,타인의 욕망을 욕망한다 (피터 틸),artifacts/bzcf_thumbnails/thumbs/095_타인의 욕망을 욕망한다 (피터 틸).jpg,https://www.youtube.com/watch?v=-tzXFnX92z8
96,G3t1QxkfA8s,우리는 자유롭지 않다 (잭 도시),artifacts/bzcf_thumbnails/thumbs/096_우리는 자유롭지 않다 (잭 도시).jpg,https://www.youtube.com/watch?v=G3t1QxkfA8s
97,OqKCa7wlIDk,인바디 회장님 모셨습니다,artifacts/bzcf_thumbnails/thumbs/097_인바디 회장님 모셨습니다.jpg,https://www.youtube.com/watch?v=OqKCa7wlIDk
98,fd-bQUrQeAs,돈버는게 제일 쉬웠어요 (루시 구오),artifacts/bzcf_thumbnails/thumbs/098_돈버는게 제일 쉬웠어요 (루시 구오).jpg,https://www.youtube.com/watch?v=fd-bQUrQeAs
99,INwjjF4Uj34,텔레그램 창업자 (파벨 두로프),artifacts/bzcf_thumbnails/thumbs/099_텔레그램 창업자 (파벨 두로프).jpg,https://www.youtube.com/watch?v=INwjjF4Uj34
100,d3LKAUw1q4I,장기적 관점 (제프 베조스),artifacts/bzcf_thumbnails/thumbs/100_장기적 관점 (제프 베조스).jpg,https://www.youtube.com/watch?v=d3LKAUw1q4I
101,Ma74xdvZ5R8,돈보다 더 중요한 것 (텔레그램 창업자),artifacts/bzcf_thumbnails/thumbs/101_돈보다 더 중요한 것 (텔레그램 창업자).jpg,https://www.youtube.com/watch?v=Ma74xdvZ5R8
102,-lELIbg9R8Q,한글번역 | 일라이릴리 대표와 대화,artifacts/bzcf_thumbnails/thumbs/102_한글번역 일라이릴리 대표와 대화.jpg,https://www.youtube.com/watch?v=-lELIbg9R8Q
103,fpR-GJr8Rg0,지금이 마지막 (구글 딥마인드),artifacts/bzcf_thumbnails/thumbs/103_지금이 마지막 (구글 딥마인드).jpg,https://www.youtube.com/watch?v=fpR-GJr8Rg0
104,S5Irztv18tI,이건 안보면 손해 (제프 베조스),artifacts/bzcf_thumbnails/thumbs/104_이건 안보면 손해 (제프 베조스).jpg,https://www.youtube.com/watch?v=S5Irztv18tI
105,jmWUlJ1U5J0,자기 인생을 살자,artifacts/bzcf_thumbnails/thumbs/105_자기 인생을 살자.jpg,https://www.youtube.com/watch?v=jmWUlJ1U5J0
106,C7SlaUqCLZU,미국이 이겨야 합니다 (구글 전 대표),artifacts/bzcf_thumbnails/thumbs/106_미국이 이겨야 합니다 (구글 전 대표).jpg,https://www.youtube.com/watch?v=C7SlaUqCLZU
107,rw8zFLundR8,159억 투자 유치 20대 대표 (두들린 이태규 대표),artifacts/bzcf_thumbnails/thumbs/107_159억 투자 유치 20대 대표 (두들린 이태규 대표).jpg,https://www.youtube.com/watch?v=rw8zFLundR8
108,LG8P2mB-Zbk,인공지능 전문가 어딨냐 (코슬라),artifacts/bzcf_thumbnails/thumbs/108_인공지능 전문가 어딨냐 (코슬라).jpg,https://www.youtube.com/watch?v=LG8P2mB-Zbk
109,DhDQMkZfGUI,99년생 투자회사 대표 인터뷰,artifacts/bzcf_thumbnails/thumbs/109_99년생 투자회사 대표 인터뷰.jpg,https://www.youtube.com/watch?v=DhDQMkZfGUI
110,3TMnDCv4IN0,일론머스크 30분 전문번역,artifacts/bzcf_thumbnails/thumbs/110_일론머스크 30분 전문번역.jpg,https://www.youtube.com/watch?v=3TMnDCv4IN0
111,nvi_wl39Mx0,아침 5시에 일어나 (고긴스),artifacts/bzcf_thumbnails/thumbs/111_아침 5시에 일어나 (고긴스).jpg,https://www.youtube.com/watch?v=nvi_wl39Mx0
112,-m6qFP4Tk30,전문직 하지마,artifacts/bzcf_thumbnails/thumbs/112_전문직 하지마.jpg,https://www.youtube.com/watch?v=-m6qFP4Tk30
113,9OPTVHcXrqM,"나발과 대화, 귀하다","artifacts/bzcf_thumbnails/thumbs/113_나발과 대화, 귀하다.jpg",https://www.youtube.com/watch?v=9OPTVHcXrqM
114,LhOcio1Hrr8,비트코인 시간문제다 (발라지),artifacts/bzcf_thumbnails/thumbs/114_비트코인 시간문제다 (발라지).jpg,https://www.youtube.com/watch?v=LhOcio1Hrr8
115,1UiU3UWsOYw,주식 지금 고점임 (하워드막스),artifacts/bzcf_thumbnails/thumbs/115_주식 지금 고점임 (하워드막스).jpg,https://www.youtube.com/watch?v=1UiU3UWsOYw
116,2_owzZFLxp8,경제적 자유 (스콧 갤러웨이),artifacts/bzcf_thumbnails/thumbs/116_경제적 자유 (스콧 갤러웨이).jpg,https://www.youtube.com/watch?v=2_owzZFLxp8
117,Fj58zAEomy0,억대연봉 포기하고 창업한 이유 (클로브 도은욱 대표),artifacts/bzcf_thumbnails/thumbs/117_억대연봉 포기하고 창업한 이유 (클로브 도은욱 대표).jpg,https://www.youtube.com/watch?v=Fj58zAEomy0
118,ulGLviVsEl0,골드만삭스 부회장 : 일 잘하는 법,artifacts/bzcf_thumbnails/thumbs/118_골드만삭스 부회장 일 잘하는 법.jpg,https://www.youtube.com/watch?v=ulGLviVsEl0
119,4ZXmqJtNWyQ,완벽한 아침루틴 (앤드루 후버만),artifacts/bzcf_thumbnails/thumbs/119_완벽한 아침루틴 (앤드루 후버만).jpg,https://www.youtube.com/watch?v=4ZXmqJtNWyQ
120,0mol9CzZYw0,술담배 하지마 (트럼프),artifacts/bzcf_thumbnails/thumbs/120_술담배 하지마 (트럼프).jpg,https://www.youtube.com/watch?v=0mol9CzZYw0
121,a_N9ErN4PxE,트럼프 AI연설 전체번역,artifacts/bzcf_thumbnails/thumbs/121_트럼프 AI연설 전체번역.jpg,https://www.youtube.com/watch?v=a_N9ErN4PxE
122,ILXgqndC9O0,"더벤처스 김철우 대표님 초대석 (번개장터, 셀잇)","artifacts/bzcf_thumbnails/thumbs/122_더벤처스 김철우 대표님 초대석 (번개장터, 셀잇).jpg",https://www.youtube.com/watch?v=ILXgqndC9O0
123,VZdqLObuxL4,그러면 사업이 더 잘 됩니다,artifacts/bzcf_thumbnails/thumbs/123_그러면 사업이 더 잘 됩니다.jpg,https://www.youtube.com/watch?v=VZdqLObuxL4
124,vECs2lEOCUU,소프트웨어 3.0,artifacts/bzcf_thumbnails/thumbs/124_소프트웨어 3.0.jpg,https://www.youtube.com/watch?v=vECs2lEOCUU
125,5fgVLOlyLfw,눈뜨고 돈 빼앗기는 중 (마이클 세일러),artifacts/bzcf_thumbnails/thumbs/125_눈뜨고 돈 빼앗기는 중 (마이클 세일러).jpg,https://www.youtube.com/watch?v=5fgVLOlyLfw
126,kflvqZbh5yc,97년생 메타 인공지능 총괄,artifacts/bzcf_thumbnails/thumbs/126_97년생 메타 인공지능 총괄.jpg,https://www.youtube.com/watch?v=kflvqZbh5yc
127,x0R-_3xsJFs,하버드 교수가 말하는 행복,artifacts/bzcf_thumbnails/thumbs/127_하버드 교수가 말하는 행복.jpg,https://www.youtube.com/watch?v=x0R-_3xsJFs
